ticker,from,to
MGM,2017-07-26,9999-12-30
BK,0001-01-01,9999-12-30
INCY,2017-02-28,9999-12-30
PDCO,2005-10-11,9999-12-30
DAL,2013-09-10,9999-12-30
MMI,0001-01-01,2012-05-20
GOOGL,2014-04-03,9999-12-30
EXC,0001-01-01,9999-12-30
BCR,1975-06-30,9999-12-30
BEAM,0001-01-01,2014-04-30
CINF,0001-01-01,9999-12-30
ETFC,2004-03-31,9999-12-30
JDSU,0001-01-01,2013-12-22
ZTS,2013-06-21,9999-12-30
IR,2010-11-17,9999-12-30
TRB,0001-01-01,2007-12-19
SPG,2002-06-26,9999-12-30
RAI,0001-01-01,2017-07-25
ANF,0001-01-01,2013-12-22
DV,0001-01-01,2012-09-30
GHC,0001-01-01,2014-09-19
EIX,0001-01-01,9999-12-30
NDAQ,2008-10-22,9999-12-30
ITW,1986-02-28,9999-12-30
PBCT,2008-11-13,9999-12-30
NWS,2015-09-18,9999-12-30
FII,0001-01-01,2012-12-30
CVC,2010-12-17,2016-06-21
MCHP,2007-09-07,9999-12-30
OXY,1982-12-31,9999-12-30
FE,0001-01-01,9999-12-30
FTV,2016-07-01,9999-12-30
GPS,1986-08-31,9999-12-30
LEG,0001-01-01,9999-12-30
VRSN,2006-02-01,9999-12-30
ALB,2016-07-01,9999-12-30
PGR,1997-08-04,9999-12-30
EXPD,2007-10-10,9999-12-30
AIV,0001-01-01,9999-12-30
BJS,0001-01-01,2010-04-28
FL,2016-04-04,9999-12-30
LUV,1994-07-01,9999-12-30
PNR,2012-10-01,9999-12-30
XOM,0001-01-01,9999-12-30
EQR,2001-12-03,9999-12-30
PPL,0001-01-01,9999-12-30
MAT,1982-03-31,9999-12-30
GNW,0001-01-01,2015-11-17
DFS,2007-07-02,9999-12-30
PG,0001-01-01,9999-12-30
PKG,2017-07-26,9999-12-30
CMS,0001-01-01,9999-12-30
SLG,2015-03-20,9999-12-30
REGN,2013-04-30,9999-12-30
GE,0001-01-01,9999-12-30
CFN,0001-01-01,2015-03-17
AN,0001-01-01,2017-08-07
PYPL,2015-07-20,9999-12-30
SIAL,0001-01-01,2015-11-18
DNR,0001-01-01,2015-03-22
MMM,0001-01-01,9999-12-30
DIS,1976-06-30,9999-12-30
VZ,1983-11-30,9999-12-30
NFX,2010-12-17,9999-12-30
DVA,2008-07-31,9999-12-30
TGT,1976-12-31,9999-12-30
MOS,2011-09-23,9999-12-30
AEE,1991-09-19,9999-12-30
PETM,2012-10-10,2015-03-11
TLAB,0001-01-01,2011-12-19
SCHW,0001-01-01,9999-12-30
YUM,1997-10-06,9999-12-30
AJG,2016-05-31,9999-12-30
MSFT,1994-06-01,9999-12-30
BLK,2011-04-01,9999-12-30
HOT,0001-01-01,2016-09-21
EVHC,2016-12-02,9999-12-30
AVB,2007-01-10,9999-12-30
SPLS,1998-10-07,9999-12-30
GR,0001-01-01,2012-07-30
LLY,1970-12-31,9999-12-30
MOLX,0001-01-01,2013-12-09
DELL,0001-01-01,2013-10-28
SNI,2008-07-01,9999-12-30
IDXX,2017-01-05,9999-12-30
AOS,2017-07-26,9999-12-30
AES,0001-01-01,9999-12-30
MI,0001-01-01,2011-07-04
EMN,1994-01-01,9999-12-30
ROP,2009-12-23,9999-12-30
MLM,2014-07-02,9999-12-30
CF,2008-08-27,9999-12-30
PFE,0001-01-01,9999-12-30
ICE,2007-09-26,9999-12-30
ADT,2012-10-01,2016-05-02
SPGI,0001-01-01,9999-12-30
IFF,1976-03-31,9999-12-30
AZO,0001-01-01,9999-12-30
AWK,2016-03-04,9999-12-30
UNH,1994-07-01,9999-12-30
SRCL,2008-11-19,9999-12-30
APA,0001-01-01,9999-12-30
NYX,0001-01-01,2013-11-12
HOG,0001-01-01,9999-12-30
CAT,0001-01-01,9999-12-30
FMC,2009-08-19,9999-12-30
TE,0001-01-01,2016-06-30
BA,0001-01-01,9999-12-30
USB,0001-01-01,9999-12-30
HAR,0001-01-01,2017-03-15
MHS,0001-01-01,2012-04-02
WM,0001-01-01,9999-12-30
URI,2014-09-20,9999-12-30
X,0001-01-01,2014-07-01
HRB,1986-11-30,9999-12-30
HSY,0001-01-01,9999-12-30
NE,0001-01-01,2015-07-19
EXR,2016-01-19,9999-12-30
HOLX,2016-03-30,9999-12-30
RJF,2017-03-20,9999-12-30
GM,2013-06-06,9999-12-30
TROW,0001-01-01,9999-12-30
MHK,2013-12-23,9999-12-30
DXC,2017-04-04,9999-12-30
AVGO,2014-05-08,9999-12-30
ADI,0001-01-01,9999-12-30
CVX,0001-01-01,9999-12-30
MAA,2016-12-02,9999-12-30
AYI,2016-05-03,9999-12-30
JOY,2011-02-25,2015-10-06
KRFT,2012-10-02,2015-07-05
JBHT,2015-07-01,9999-12-30
JNS,0001-01-01,2011-11-17
KHC,2015-07-06,9999-12-30
JCP,0001-01-01,2013-12-01
COST,1993-10-01,9999-12-30
CLF,0001-01-01,2014-04-01
MS,0001-01-01,9999-12-30
SNPS,2017-03-16,9999-12-30
KODK,0001-01-01,2010-12-16
WHR,0001-01-01,9999-12-30
LUK,2007-08-27,9999-12-30
EQIX,2015-03-20,9999-12-30
PBI,0001-01-01,2017-02-28
MCK,0001-01-01,9999-12-30
SUN,0001-01-01,2012-10-09
DO,0001-01-01,2016-09-29
GENZ,0001-01-01,2011-03-31
MSI,0001-01-01,9999-12-30
VRTX,2013-09-20,9999-12-30
L,0001-01-01,9999-12-30
DISH,2017-03-13,9999-12-30
WPX,2011-12-31,2014-03-20
CB,2010-07-14,9999-12-30
AMP,2005-10-03,9999-12-30
XTO,0001-01-01,2010-06-27
EXPE,2007-10-02,9999-12-30
SII,0001-01-01,2010-08-25
IGT,0001-01-01,2014-06-19
MDLZ,2012-10-02,9999-12-30
FLS,2008-10-02,9999-12-30
T,1983-11-30,9999-12-30
XEL,0001-01-01,9999-12-30
NTAP,1999-06-25,9999-12-30
STJ,0001-01-01,2017-01-04
UDR,2016-03-07,9999-12-30
ADM,1981-07-29,9999-12-30
FIS,2006-11-10,9999-12-30
DPS,2008-10-07,9999-12-30
D,0001-01-01,9999-12-30
BMY,0001-01-01,9999-12-30
SNDK,0001-01-01,2016-05-12
FOX,2015-09-18,9999-12-30
FFIV,2010-12-17,9999-12-30
MUR,0001-01-01,2017-07-25
TWC,0001-01-01,2016-05-17
EMR,1965-03-31,9999-12-30
XRAY,2008-11-14,9999-12-30
BSX,1995-02-24,9999-12-30
MKC,0001-01-01,9999-12-30
CERN,2010-04-29,9999-12-30
AGN,0001-01-01,9999-12-30
CSX,1967-09-30,9999-12-30
OMC,0001-01-01,9999-12-30
ATVI,2015-08-28,9999-12-30
KMI,2012-05-17,9999-12-30
IP,0001-01-01,9999-12-30
LLL,0001-01-01,9999-12-30
WFM,0001-01-01,2017-08-28
RRC,2007-12-20,9999-12-30
CAH,0001-01-01,9999-12-30
CEPH,0001-01-01,2011-10-13
EA,2002-07-22,9999-12-30
BLL,1984-10-31,9999-12-30
NOC,1985-06-30,9999-12-30
XL,0001-01-01,9999-12-30
DRI,0001-01-01,9999-12-30
LKQ,2016-05-23,9999-12-30
RSH,0001-01-01,2011-06-29
CSRA,2015-12-01,9999-12-30
GWW,1981-06-30,9999-12-30
CBE,0001-01-01,2009-09-27
CBE,2011-11-18,2012-12-02
EQT,2008-12-19,9999-12-30
MA,2008-07-18,9999-12-30
HRL,2009-03-04,9999-12-30
CTSH,2006-11-17,9999-12-30
ESV,2012-07-31,2016-03-29
ALLE,2013-12-02,9999-12-30
DLPH,2012-12-21,9999-12-30
MCO,0001-01-01,9999-12-30
JNPR,0001-01-01,9999-12-30
UAL,2015-09-02,9999-12-30
NI,0001-01-01,9999-12-30
CA,1987-07-31,9999-12-30
WLTW,2016-01-05,9999-12-30
HST,2007-03-20,9999-12-30
VTR,2009-03-04,9999-12-30
MNST,2012-06-28,9999-12-30
GS,2002-07-22,9999-12-30
ABC,2001-08-30,9999-12-30
LM,0001-01-01,2016-12-01
EOG,2000-11-02,9999-12-30
TRIP,2011-12-20,9999-12-30
O,2015-04-07,9999-12-30
MMC,1987-08-31,9999-12-30
DNB,0001-01-01,2017-04-04
LNC,1976-06-30,9999-12-30
GMCR,2014-03-21,2016-03-06
BXLT,2015-07-01,2016-06-02
PX,1992-07-01,9999-12-30
BXP,2006-04-03,9999-12-30
PNC,1988-04-30,9999-12-30
BRK-B,2010-02-16,9999-12-30
GILD,2004-07-01,9999-12-30
GRMN,2012-12-11,9999-12-30
KORS,2013-11-13,9999-12-30
FRT,2016-02-01,9999-12-30
CME,0001-01-01,9999-12-30
