ticker,added
HBI,20.03.2015
SLG,20.03.2015
AAL,23.03.2015
O,07.04.2015
QRVO,11.06.2015
JBHT,01.07.2015
KHC,06.07.2015
AAP,09.07.2015
PYPL,20.07.2015
SIG,29.07.2015
ATVI,31.08.2015
UAL,03.09.2015
CMCSA,18.09.2015
NWS,18.09.2015
FOX,18.09.2015
VRSK,08.10.2015
HPE,02.11.2015
SYF,18.11.2015
ILMN,19.11.2015
CSRA,01.12.2015
CHD,29.12.2015
WLTW,05.01.2016
EXR,19.01.2016
CFG,29.01.2016
FRT,01.02.2016
CXO,22.02.2016
AWK,04.03.2016
UDR,07.03.2016
UAA,25.03.2016
CNC,30.03.2016
HOLX,30.03.2016
FL,04.04.2016
ULTA,18.04.2016
GPN,25.04.2016
AYI,03.05.2016
ALK,13.05.2016
DLR,18.05.2016
LKQ,23.05.2016
AJG,31.05.2016
TDG,03.06.2016
FBHS,22.06.2016
ALB,01.07.2016
LNT,01.07.2016
FTV,01.07.2016
MTD,06.09.2016
CHTR,08.09.2016
COO,23.09.2016
COTY,03.10.2016
EVHC,02.12.2016
MAA,02.12.2016
IDXX,05.01.2017
INCY,28.02.2017
CBOE,01.03.2017
REG,02.03.2017
DISH,13.03.2017
SNPS,16.03.2017
AMD,20.03.2017
ARE,20.03.2017
RJF,20.03.2017
DXC,04.04.2017
IT,05.04.2017
INFO,02.06.2017
ALGN,19.06.2017
ANSS,19.06.2017
RE,19.06.2017
HLT,19.06.2017
AOS,26.07.2017
DRE,26.07.2017
MGM,26.07.2017
PKG,26.07.2017
RMD,26.07.2017
BHF,08.08.2017
Q,29.08.2017
